name,email,phone,website,address,category,location
1. Münchner Snookerclub,info@erster-muenchner-sc.de,(089) 37 06 79 75,http://www.erster-muenchner-sc.de," Breslauer Str. 2a, 85386 Eching 18,8 km )",Sportvereine,Muenchen
ADFC Landesverband Bayern e.V.,kontakt@adfc-bayern.de,(089) 9 09 00 25-0,http://www.adfc-bayern.de," Kardinal-Döpfner-Str. 8, 80333 München (Maxvorstadt)",Sportvereine,Muenchen
Aikido Kreis Ohayo e.V.,aikido@ohayo.de,(089) 4 48 15 17,http://www.ohayo.de," Weißenburger Platz 5, 81667 München (Haidhausen)",Sportvereine,Muenchen
Allgemeiner Deutscher Fahrrad-Club Kreisverband München e.V.,kontakt@adfc-bayern.de,(089) 77 34 29,http://www.adfc-bayern.de," Platenstr. 4, 80336 München (Ludwigsvorstadt)",Sportvereine,Muenchen
Armbrustschützengilde Winzerer Fähndl e.V.,buero@asgwf.de,(089) 8 64 44 84,http://www.asgwf.de," Karl-Harz-Weg 23, 81249 München (Lochhausen)",Sportvereine,Muenchen
BCI - Bogensport Center Ingo Nibbe,info@bci-bogensport.de,(089) 95 95 10 33,http://www.bci-bogensport.de," Feldkirchener Str. 4B, 85599 Hergolding (Hergolding)",Sportvereine,Muenchen
"Bayerischer Schwimmverband e.V, Bayerischer Schwimmverband e.V.",info@bhv-online.de,(089) 1 57 46 66,http://www.bsaev.de," Georg-Brauchle-Ring 93, 80992 München (Moosach)",Sportvereine,Muenchen
Bayrischer Ruderverband E.V.,,(089) 15 88 17 62,https://www.google.com/maps/search/?api=1&query=Bayrischer%20Ruderverband%20E%20V%20Georg-Brauchle-Ring%2093%2080992%20M%C3%BCnchen," Georg-Brauchle-Ring 93, 80992 München (Moosach)",Sportvereine,Muenchen
Behinderten-Sportverein München e.V.,info@bsv-muenchen-ev.de,(089) 18 91 38 09,http://www.bsv-muenchen-ev.de," Kirchwaldstr. 1, 80686 München (Laim)",Sportvereine,Muenchen
Bezirkssportanlage,,,https://www.google.com/maps/search/?api=1&query=Bezirkssportanlage%20Westpreu%C3%9Fenstr%2060%2081927%20M%C3%BCnchen," Westpreußenstr. 60, 81927 München (Bogenhausen)",Sportvereine,Muenchen
Billardsport-Verein München e.V.,info@bsv-muenchen.de,(089) 53 60 66,http://www.bsv-muenchen.de," Kistlerhofstr. 70, 80336 München (Obersendling)",Sportvereine,Muenchen
